,STATION CODE,Address,Location,Temp,DO,PH,CONDUCTIVITY (mhos/cm),BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf,Is_Potable
56,1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28.0,5.9,7.7,194.0,5.5,0.6,22.0,51.0,2014.0,85.93757647058824,3,1
57,1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.1,6.3,7.6,186.0,4.6,0.6,13.0,31.0,2014.0,78.34456352941177,3,1
58,2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207.0,4.7,0.7,12.0,31.0,2014.0,79.88711686274509,3,1
59,2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.9,6.8,7.7,85.0,5.0,0.4,15.0,34.0,2014.0,83.29898980392157,3,1
60,2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23.0,7.1,7.4,176.0,2.7,0.9,221.0,30.0,2014.0,67.31063764705884,2,0
61,2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23.0,7.0,7.4,178.0,2.7,0.9,221.0,40.0,2014.0,67.09197764705883,2,0
62,2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23.0,7.2,7.2,180.0,2.7,1.0,221.0,70.0,2014.0,66.93984509803921,2,0
63,1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,25.1,6.7,7.5,85.0,1.4,1.0,183.0,420.0,2014.0,54.46110392156862,2,0
64,1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.6,5.8,7.4,77.0,1.4,0.8,285.0,691.0,2014.0,54.453244313725484,2,0
65,3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.7,6.6,7.5,75.0,1.4,0.7,183.0,448.0,2014.0,54.21096392156862,2,0
66,3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.7,7.5,82.0,1.4,1.0,161.0,443.0,2014.0,53.97930392156863,2,0
67,2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.3,6.7,6.9,56.0,0.9,0.2,82.0,172.0,2014.0,45.81647960784314,1,0
68,2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.5,6.5,6.7,2240.0,1.2,0.2,136.0,304.0,2014.0,49.1196937254902,1,0
69,2286,R AYROOR AT AYROOR BRIDGE,KERALA,25.2,6.3,6.9,73.0,1.6,0.0,787.0,2008.0,2014.0,67.09397294117647,2,0
70,2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,29.9,7.0,7.4,130.0,0.7,0.1,301.0,590.0,2014.0,51.17895098039216,2,0
71,2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.8,6.6,7.7,191.0,1.6,0.2,362.0,661.0,2014.0,60.56768313725491,2,0
72,1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.8,6.9,6.9,134.0,1.1,0.4,249.0,531.0,2014.0,51.83818627450981,2,0
74,21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.8,6.7,7.4,14526.0,0.8,0.6,1411.0,1969.0,2014.0,79.45641764705883,3,1
75,3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.4,7.2,7.4,82.0,0.7,0.5,840.0,1311.0,2014.0,63.7252443137255,2,0
76,1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,29.8,7.5,7.2,67.0,1.1,0.1,76.0,590.0,2014.0,50.22718509803923,3,1
77,1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.6,3.0,6.6,965.0,1.7,1.2,247.0,530.0,2014.0,47.825494117647054,1,0
78,2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.9,5.9,7.4,17990.0,0.7,0.5,1888.0,2803.0,2014.0,88.2771443137255,3,1
79,1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26.0,6.7,7.5,90.0,1.6,0.9,199.0,473.0,2014.0,56.58693058823529,2,0
80,2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.1,7.4,4429.0,2.0,1.6,243.0,550.0,2014.0,60.51403098039217,2,0
81,1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,30.3,6.7,6.9,87.0,1.7,0.2,155.0,350.0,2014.0,54.55735960784314,2,0
82,2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.7,6.9,6.8,85.0,1.6,0.2,82.0,206.0,2014.0,52.16298666666667,2,0
83,2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,28.2,2.5,6.9,83.0,1.9,0.3,353.0,656.0,2014.0,51.48633294117647,2,0
84,42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.8,7.2,7.6,75.0,1.4,1.0,188.0,426.0,2014.0,55.98357686274509,2,0
85,3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,29.2,6.1,7.6,281.0,1.2,0.7,384.0,718.0,2014.0,56.187236862745095,2,0
86,3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.6,6.7,7.6,106.0,0.5,2.5,44.0,71.0,2014.0,43.8205968627451,1,0
87,1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,30.4,7.6,7.1,58.0,1.2,0.1,163.0,961.0,2014.0,53.02967215686274,2,0
88,3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,25.1,7.4,7.0,35.0,0.1,0.0,165.0,409.0,2014.0,42.450285882352944,1,0
89,2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.9,6.4,7.2,63.0,1.3,0.4,121.0,535.0,2014.0,50.57760509803922,3,1
90,2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.8,5.4,6.7,65.0,1.1,0.3,60.0,144.0,2014.0,43.617827058823536,1,0
91,2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.3,5.6,7.3,90.0,1.6,0.4,268.0,705.0,2014.0,55.06119803921568,2,0
92,2326,R KORAYAR AT KANJIKODE,KERALA,29.5,7.1,8.0,728.0,1.2,0.4,374.0,697.0,2014.0,59.46556862745098,2,0
93,1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.4,5.9,6.8,13953.0,1.5,0.4,70.0,166.0,2014.0,51.86361333333333,2,0
94,2298,R KUPPAM AT RAYAROM,KERALA,26.9,7.4,6.9,57.0,1.1,0.3,70.0,159.0,2014.0,48.879072941176474,1,0
95,1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,25.8,7.2,7.2,41.0,0.7,0.2,441.0,658.0,2014.0,54.10915843137254,2,0
97,2285,R MAMOM AT MAMOM BRIDGE,KERALA,25.3,6.8,7.1,81.0,0.8,0.0,389.0,1268.0,2014.0,52.774738823529404,2,0
98,1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.2,6.8,6.9,68.0,1.7,0.1,449.0,660.0,2014.0,61.32914627450981,2,0
99,1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.5,6.6,7.0,70.0,1.4,0.1,550.0,822.0,2014.0,60.80547921568627,2,0
100,3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.6,6.4,7.7,100.0,0.6,0.9,56.0,88.0,2014.0,44.440936470588234,1,0
