Name,Year,predicted_pH_min,predicted_pH_max
"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MAYA, KARNATAKA",2024,6.5139576659458385,7.681735526220535
SHETTYKERE LAKE,2025,6.449223145613814,7.616085208885892
